idx_season,team_tri,playerId,firstName.default,lastName.default,positionCode,gamesPlayed,gamesStarted,wins,losses,ties,overtimeLosses,goalsAgainstAverage,savePercentage,shotsAgainst,saves,goalsAgainst,shutouts,goals,assists,points,penaltyMinutes,timeOnIce,idx_season_type,plusMinus,powerPlayGoals,shorthandedGoals,gameWinningGoals,overtimeGoals,shots,shootingPctg,avgTimeOnIcePerGame,avgShiftsPerGame,faceoffWinPctg
2024,BOS,8481043.0,Cole,Koepke,L,63.0,,,,,,,,,,,,9.0,7.0,16.0,12.0,,,5.0,0.0,0.0,2.0,0.0,71.0,0.126761,660.1111,16.4921,0.0
2024,BOS,8481556.0,John,Beecher,C,70.0,,,,,,,,,,,,3.0,8.0,11.0,24.0,,,-8.0,0.0,0.0,0.0,0.0,37.0,0.081081,675.2571,17.6286,0.523404
2024,BOS,8482177.0,Marat,Khusnutdinov,C,65.0,,,,,,,,,,,,4.0,5.0,9.0,18.0,,,-9.0,0.0,0.0,0.0,0.0,35.0,0.114286,699.2615,14.7385,0.431925
2024,BOS,8482511.0,Mason,Lohrei,D,67.0,,,,,,,,,,,,5.0,24.0,29.0,16.0,,,-30.0,1.0,0.0,0.0,0.0,78.0,0.064103,1168.8209,23.7463,0.0
2024,BOS,8482763.0,Fabian,Lysell,R,3.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,791.0,17.0,0.0
2024,BOS,8483505.0,Matthew,Poitras,C,33.0,,,,,,,,,,,,1.0,10.0,11.0,8.0,,,-5.0,0.0,0.0,1.0,0.0,29.0,0.034483,785.2727,17.303,0.457364
2024,BOS,8483567.0,Georgii,Merkulov,C,6.0,,,,,,,,,,,,0.0,1.0,1.0,2.0,,,-1.0,0.0,0.0,0.0,0.0,7.0,0.0,824.0,18.0,0.0
2024,BUF,8473503.0,James,Reimer,G,15.0,12.0,3.0,8.0,0.0,2.0,3.000427,0.897243,399.0,358.0,41.0,0.0,0.0,0.0,0.0,0.0,49193.0,2.0,,,,,,,,,,
2024,BUF,8480045.0,Ukko-Pekka,Luukkonen,G,51.0,51.0,23.0,22.0,0.0,4.0,3.155558,0.887837,1373.0,1219.0,154.0,2.0,0.0,1.0,1.0,2.0,175690.0,2.0,,,,,,,,,,
2024,BUF,8482221.0,Devon,Levi,G,9.0,8.0,2.0,7.0,0.0,0.0,4.119564,0.872093,258.0,225.0,33.0,0.0,0.0,0.0,0.0,0.0,28838.0,2.0,,,,,,,,,,
2024,BUF,8475722.0,Jason,Zucker,L,61.0,,,,,,,,,,,,19.0,27.0,46.0,55.0,,,2.0,10.0,0.0,3.0,0.0,114.0,0.166667,967.459,20.4098,0.39759
2024,BUF,8477365.0,Connor,Clifton,D,60.0,,,,,,,,,,,,0.0,10.0,10.0,37.0,,,-6.0,0.0,0.0,0.0,0.0,49.0,0.0,919.8667,20.3667,0.0
2024,BUF,8477949.0,Alex,Tuch,R,69.0,,,,,,,,,,,,27.0,24.0,51.0,38.0,,,9.0,2.0,4.0,4.0,1.0,168.0,0.160714,1168.971,25.6232,0.435065
2024,BUF,8478043.0,Sam,Lafferty,C,50.0,,,,,,,,,,,,2.0,3.0,5.0,26.0,,,-11.0,0.0,0.0,0.0,0.0,42.0,0.047619,582.6,14.7,0.504065
2024,BUF,8478413.0,Jordan,Greenway,L,34.0,,,,,,,,,,,,3.0,5.0,8.0,45.0,,,-4.0,0.0,0.0,0.0,0.0,36.0,0.083333,904.4412,22.0882,0.205882
2024,BUF,8479359.0,Beck,Malenstyn,L,65.0,,,,,,,,,,,,4.0,5.0,9.0,25.0,,,-17.0,0.0,0.0,0.0,0.0,53.0,0.075472,628.6615,15.4769,0.6
2024,BUF,8479419.0,Brett,Murray,L,3.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,474.6667,11.6667,0.0
2024,BUF,8479420.0,Tage,Thompson,C,63.0,,,,,,,,,,,,34.0,26.0,60.0,31.0,,,-2.0,5.0,0.0,3.0,0.0,199.0,0.170854,1127.2381,23.5397,0.429936
2024,BUF,8480064.0,Josh,Norris,C,56.0,,,,,,,,,,,,21.0,14.0,35.0,44.0,,,-6.0,6.0,3.0,5.0,1.0,96.0,0.21875,1100.7857,26.4643,0.538462
2024,BUF,8480196.0,Jacob,Bryson,D,44.0,,,,,,,,,,,,0.0,7.0,7.0,10.0,,,-5.0,0.0,0.0,0.0,0.0,18.0,0.0,859.25,20.6364,0.0
2024,BUF,8480802.0,Ryan,McLeod,C,66.0,,,,,,,,,,,,17.0,25.0,42.0,14.0,,,9.0,0.0,2.0,1.0,0.0,77.0,0.220779,999.2727,22.7273,0.51882
2024,BUF,8480807.0,Mattias,Samuelsson,D,49.0,,,,,,,,,,,,3.0,7.0,10.0,22.0,,,-3.0,0.0,0.0,0.0,0.0,46.0,0.065217,1127.3469,24.3469,0.0
2024,BUF,8480839.0,Rasmus,Dahlin,D,61.0,,,,,,,,,,,,13.0,41.0,54.0,48.0,,,1.0,4.0,0.0,1.0,1.0,165.0,0.078788,1462.4262,29.0164,0.0
2024,BUF,8480879.0,Jacob,Bernard-Docker,D,27.0,,,,,,,,,,,,1.0,5.0,6.0,6.0,,,2.0,0.0,0.0,0.0,0.0,19.0,0.052632,782.1111,19.1111,0.0
2024,BUF,8481522.0,Peyton,Krebs,C,68.0,,,,,,,,,,,,6.0,12.0,18.0,56.0,,,-8.0,1.0,0.0,0.0,0.0,62.0,0.096774,818.6176,19.7647,0.512287
2024,BUF,8481524.0,Bowen,Byram,D,69.0,,,,,,,,,,,,7.0,26.0,33.0,38.0,,,6.0,0.0,0.0,2.0,0.0,80.0,0.0875,1376.087,28.5797,0.0
2024,BUF,8481564.0,Ryan,Johnson,D,3.0,,,,,,,,,,,,0.0,0.0,0.0,4.0,,,-2.0,0.0,0.0,0.0,0.0,3.0,0.0,1060.0,22.6667,0.0
2024,BUF,8482097.0,Jack,Quinn,R,61.0,,,,,,,,,,,,10.0,16.0,26.0,14.0,,,-22.0,2.0,0.0,2.0,0.0,102.0,0.098039,896.8525,19.5082,0.2
2024,BUF,8482175.0,JJ,Peterka,R,64.0,,,,,,,,,,,,22.0,32.0,54.0,26.0,,,-5.0,5.0,0.0,3.0,0.0,144.0,0.152778,1101.4375,22.2188,0.2
2024,BUF,8482623.0,Josh,Dunne,C,1.0,,,,,,,,,,,,0.0,0.0,0.0,5.0,,,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,436.0,12.0,0.333333
2024,BUF,8482671.0,Owen,Power,D,69.0,,,,,,,,,,,,7.0,29.0,36.0,12.0,,,-14.0,1.0,0.0,0.0,0.0,128.0,0.054688,1302.6377,27.1304,0.0
2024,BUF,8482765.0,Isak,Rosen,R,3.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,-2.0,0.0,0.0,0.0,0.0,2.0,0.0,622.0,15.3333,0.0
