team_tri_for,fenwick_lvl,corsi_lvl,rpe,rwin,rgame,wp,kpi_corsi,kpi_fenwick,kpi_pe,rwin_fittedPE,wp_own,wp_ow,wp_oow,rpi,pairwise_win,kpi_pairwise,kpi_rpi,kpi_wp,Final,idx_WinStreak,idx_WinStreak_expected,idx_HotStreak,ratio,ratio_viz,yr_season
WSH,-228,-77,0.4187493948908037,31,65,0.47692307692307695,0.31511254019292606,0.3698146513680494,0.434839025160684,31.318271589853527,0.47692307692307695,0.509142053445851,0.4772727272727273,0.49311997777187655,10,0.3333333333333333,0.5709335543819319,0.5423637344846195,0.3225806451612903,6,6,1,0.16666666666666666,16%,2023
CGY,68,143,0.4832982176413644,32,66,0.48484848484848486,0.5509110396570204,0.6310679611650486,0.5885354480739171,35.603608934639254,0.48484848484848486,0.5085348506401138,0.4875318066157761,0.49736249818612216,14,0.4666666666666667,0.5907078293005416,0.5609903677901519,0.3548387096774194,9,4,4,0.4444444444444444,44%,2023
NJD,137,-139,0.47540639223728304,32,66,0.48484848484848486,0.24866023579849947,0.6919682259488085,0.5697443178382763,35.07967785919072,0.48484848484848486,0.49697885196374625,0.4847689075630252,0.49089377408475066,11,0.36666666666666664,0.5605572781508893,0.5609903677901519,0.3870967741935484,4,2,1,0.25,25%,2023
BUF,169,134,0.4975186257003879,32,68,0.47058823529411764,0.5412647374062165,0.7202118270079435,0.6223954900995394,36.547688828224864,0.47058823529411764,0.510938602681722,0.47015293537247166,0.4906545940075083,13,0.43333333333333335,0.5594424661663522,0.5274753182438652,0.41935483870967744,2,1,2,1.0,100%,2023
MIN,15,56,0.48591828639428797,33,67,0.4925373134328358,0.45766345123258306,0.5842894969108562,0.5947740621640183,35.77755290440302,0.4925373134328358,0.4967032967032967,0.49424136204306457,0.4950463172206234,14,0.4666666666666667,0.5799121713658779,0.5790609821910414,0.45161290322580644,9,3,2,0.2222222222222222,22%,2023
STL,-264,-174,0.46396444208571047,34,66,0.5151515151515151,0.21114683815648447,0.3380406001765225,0.542500028407251,34.32005724657025,0.5151515151515151,0.5130190007037297,0.5167853509664293,0.514493716881351,16,0.5333333333333333,0.6705559844285156,0.6322098480760109,0.4838709677419355,5,4,5,1.0,100%,2023
DET,-237,-114,0.5132719976509739,34,67,0.5074626865671642,0.2754555198285102,0.36187113857016767,0.659905653948433,37.5935407934423,0.5074626865671642,0.5,0.5077616424636956,0.503806082257715,14,0.4666666666666667,0.6207412034394156,0.6141392336751214,0.5161290322580645,11,8,4,0.36363636363636365,36%,2023
LAK,303,255,0.5764705882352941,34,66,0.5151515151515151,0.6709539121114684,0.8384819064430715,0.8103870553444574,41.78923745882353,0.5151515151515151,0.4905923344947735,0.5150127226463105,0.5028372266968432,17,0.5666666666666667,0.6162253934146078,0.6322098480760109,0.5483870967741935,8,5,2,0.25,25%,2023
PHI,377,562,0.4874706392172133,34,67,0.5074626865671642,1.0,0.9037952338923213,0.5984703507377833,35.88061218946655,0.5074626865671642,0.5062454077883909,0.5080160320641283,0.5069923835520186,15,0.5,0.6355924691058144,0.6141392336751214,0.5806451612903226,11,6,9,0.8181818181818182,81%,2023
TBL,-7,-74,0.5176935723792374,35,66,0.5303030303030303,0.3183279742765273,0.5648720211827007,0.6704338121768766,37.88708509833241,0.5303030303030303,0.49725920125293654,0.5297407219115404,0.513640538680111,18,0.6,0.6665793435031739,0.6678195882189405,0.6129032258064516,7,4,2,0.2857142857142857,28%,2023
VGK,1,178,0.5339413910792045,35,66,0.5303030303030303,0.5884244372990354,0.5719329214474845,0.7091212972140221,38.96576293131694,0.5303030303030303,0.5066469719350074,0.5309644670050762,0.5186403602945303,19,0.6333333333333333,0.6898833791927972,0.6678195882189405,0.6451612903225806,10,6,6,0.6,60%,2023
NSH,68,30,0.5286844934464854,38,67,0.5671641791044776,0.42979635584137194,0.6310679611650486,0.6966041616979767,38.61676230228515,0.5671641791044776,0.49411764705882355,0.5667833916958479,0.5305457162294931,22,0.7333333333333333,0.7453739268567183,0.7544522396114407,0.6774193548387096,13,13,7,0.5384615384615384,53%,2023
TOR,189,226,0.5768140647784921,38,65,0.5846153846153846,0.639871382636656,0.7378640776699029,0.8112049031965886,41.81204055258888,0.5846153846153846,0.49269792467332824,0.5855087906233352,0.5388800061463441,23,0.7666666666666667,0.7842198307005336,0.795466810577442,0.7096774193548387,11,10,4,0.36363636363636365,36%,2023
BOS,-90,0,0.5966411314083677,39,68,0.5735294117647058,0.39764201500535906,0.4916151809355693,0.8584148922873307,43.12834138420743,0.5735294117647058,0.5073206442166911,0.5726284584980237,0.5401997896740279,21,0.7,0.7903713066537996,0.7694120821561219,0.7419354838709677,11,10,4,0.36363636363636365,36%,2023
DAL,141,-30,0.5827586206896552,40,68,0.5882352941176471,0.3654876741693462,0.6954986760812003,0.8253594135411719,42.2066941862069,0.5882352941176471,0.4989339019189765,0.5903257650542941,0.5441072157524736,24,0.8,0.8085837157773672,0.8039744770007301,0.7741935483870968,11,11,6,0.5454545454545454,54%,2023
