id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalScorer.playerId,condensedGame,awayTeam.commonName.fr,winningGoalie.lastName.sv,condensedGameFr,homeTeam.commonName.fr,alternateBroadcasts,specialEvent.parentId,specialEvent.name.default,specialEvent.lightLogoUrl.default,venue.cs,venue.fi,venue.sk,seriesUrl,seriesStatus.round,seriesStatus.seriesAbbrev,seriesStatus.seriesTitle,seriesStatus.seriesLetter,seriesStatus.neededToWin,seriesStatus.topSeedWins,seriesStatus.bottomSeedWins,seriesStatus.gameNumberOfSeries,specialEvent.lightLogoUrl.fr,specialEvent.name.fr,ticketsLinkFr,tricode_winteam
2024020031,20242025,2,2024-10-12,False,2024-10-12T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,1,Devils,New Jersey,du New Jersey,NJD,5.0,15,Capitals,Washington,de Washington,WSH,3.0,REG,3,REG,8474593.0,8481032.0,,,Markström,,,,,,,,,,,,,,,,,,,,,,NJD
2024020030,20242025,2,2024-10-12,False,2024-10-12T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,59,Utah Hockey Club,Utah,de l'Utah,UTA,6.0,3,Rangers,New York,de New York,NYR,5.0,OT,3,OT,8478971.0,8479343.0,,Club de hockey de l'Utah,,,,,,,,,,,,,,,,,,,,,,,UTA
2024020027,20242025,2,2024-10-12,False,2024-10-12T23:00:00Z,-04:00,-04:00,America/Montreal,OFF,OK,9,Senators,Ottawa,d'Ottawa,OTT,1.0,8,Canadiens,Montréal,de Montréal,MTL,4.0,REG,3,REG,8478470.0,8481540.0,,Sénateurs,,/fr/video/match-condense-les-senateurs-d-ottawa-les-canadiens-de-montreal-12-10-2024-6363191671112,,,,,,,,,,,,,,,,,,,,,MTL
2024020025,20242025,2,2024-10-12,False,2024-10-12T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,13,Panthers,Florida,de la Floride,FLA,2.0,7,Sabres,Buffalo,de Buffalo,BUF,5.0,REG,3,REG,8482221.0,8480035.0,,,,,,,,,,,,,,,,,,,,,,,,,BUF
2024020028,20242025,2,2024-10-12,False,2024-10-12T23:00:00Z,-04:00,-04:00,America/Detroit,OFF,OK,18,Predators,Nashville,de Nashville,NSH,0.0,17,Red Wings,Detroit,de Detroit,DET,3.0,REG,3,REG,8475660.0,8477456.0,,,,,,,,,,,,,,,,,,,,,,,,,DET
2024020026,20242025,2,2024-10-12,False,2024-10-12T23:00:00Z,-04:00,-04:00,America/Toronto,OFF,OK,5,Penguins,Pittsburgh,de Pittsburgh,PIT,2.0,10,Maple Leafs,Toronto,de Toronto,TOR,4.0,REG,3,REG,8476932.0,8478483.0,,,,,,,,,,,,,,,,,,,,,,,,,TOR
2024020033,20242025,2,2024-10-12,False,2024-10-13T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,55,Kraken,Seattle,de Seattle,SEA,5.0,30,Wild,Minnesota,du Minnesota,MIN,4.0,SO,3,SO,8478916.0,,,,,,,,,,,,,,,,,,,,,,,,,,SEA
2024020032,20242025,2,2024-10-12,False,2024-10-13T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,2,Islanders,New York,de New York,NYI,0.0,25,Stars,Dallas,de Dallas,DAL,3.0,REG,3,REG,8479979.0,8475794.0,,,,,,,,,,,,,,,,,,,,,,,,,DAL
2024020034,20242025,2,2024-10-12,False,2024-10-13T01:00:00Z,-04:00,-06:00,America/Denver,OFF,OK,29,Blue Jackets,Columbus,de Columbus,CBJ,6.0,21,Avalanche,Colorado,du Colorado,COL,4.0,REG,3,REG,8480193.0,8482475.0,,,,,,,,,,,,,,,,,,,,,,,,,CBJ
2024020037,20242025,2,2024-10-12,False,2024-10-13T02:00:00Z,-04:00,-07:00,US/Pacific,OFF,OK,24,Ducks,Anaheim,d'Anaheim,ANA,2.0,28,Sharks,San Jose,de San Jose,SJS,0.0,REG,3,REG,8480843.0,8480806.0,,,,,,,,,,,,,,,,,,,,,,,,,ANA
2024020035,20242025,2,2024-10-12,False,2024-10-13T02:00:00Z,-04:00,-06:00,US/Mountain,OFF,OK,4,Flyers,Philadelphia,de Philadelphie,PHI,3.0,20,Flames,Calgary,de Calgary,CGY,6.0,REG,3,REG,8481692.0,8474150.0,,,,,,,,,,,,,,,,,,,,,,,,,CGY
2024020036,20242025,2,2024-10-12,False,2024-10-13T02:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,16,Blackhawks,Chicago,de Chicago,CHI,5.0,22,Oilers,Edmonton,d'Edmonton,EDM,2.0,REG,3,REG,8475852.0,8484144.0,,,,,,,,,,,,,,,,,,,,,,,,,CHI
2024020038,20242025,2,2024-10-13,False,2024-10-13T22:00:00Z,-04:00,-05:00,America/Winnipeg,OFF,OK,30,Wild,Minnesota,du Minnesota,MIN,1.0,52,Jets,Winnipeg,de Winnipeg,WPG,2.0,OT,3,OT,8476945.0,8478398.0,,,,,,,,,,,,,,,,,,,,,,,,,WPG
