gameId,gameType,startTimeUTC,homeTeam.id,homeTeam.name.default,homeTeam.abbrev,homeTeam.logo,awayTeam.id,awayTeam.name.default,awayTeam.abbrev,awayTeam.logo,odds_description,home_odds_value,away_odds_value,currentOddsDate,lastUpdatedUTC,bettingPartner,homeTeam.name.fr,awayTeam.name.fr
2024020013,2,2024-10-10T23:00:00Z,9,Senators,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,13,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,MONEY_LINE_2_WAY,114.0,-135.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,Sénateurs,
2024020014,2,2024-10-11T00:00:00Z,17,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,5,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,OVER_UNDER,370.0,175.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020014,2,2024-10-11T00:00:00Z,17,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,5,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,MONEY_LINE_3_WAY,110.0,170.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020014,2,2024-10-11T00:00:00Z,17,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,5,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,MONEY_LINE_2_WAY,-142.0,120.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020015,2,2024-10-10T23:00:00Z,1,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,10,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,OVER_UNDER,400.0,170.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020015,2,2024-10-10T23:00:00Z,1,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,10,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,MONEY_LINE_3_WAY,105.0,175.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020015,2,2024-10-10T23:00:00Z,1,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,10,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,MONEY_LINE_2_WAY,-135.0,114.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020016,2,2024-10-10T23:30:00Z,2,Islanders,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,59,Utah Hockey Club,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,OVER_UNDER,310.0,165.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,Club de hockey de l'Utah
2024020016,2,2024-10-10T23:30:00Z,2,Islanders,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,59,Utah Hockey Club,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,MONEY_LINE_3_WAY,110.0,175.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,Club de hockey de l'Utah
2024020016,2,2024-10-10T23:30:00Z,2,Islanders,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,59,Utah Hockey Club,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,MONEY_LINE_2_WAY,-135.0,114.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,Club de hockey de l'Utah
2024020017,2,2024-10-11T00:00:00Z,18,Predators,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,25,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,OVER_UNDER,175.0,450.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020017,2,2024-10-11T00:00:00Z,18,Predators,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,25,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,MONEY_LINE_3_WAY,145.0,130.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020017,2,2024-10-11T00:00:00Z,18,Predators,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,25,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,MONEY_LINE_2_WAY,110.0,-130.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020018,2,2024-10-11T00:00:00Z,30,Wild,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,29,Blue Jackets,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,OVER_UNDER,245.0,210.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020018,2,2024-10-11T00:00:00Z,30,Wild,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,29,Blue Jackets,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,MONEY_LINE_3_WAY,-160.0,300.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020018,2,2024-10-11T00:00:00Z,30,Wild,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,29,Blue Jackets,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,MONEY_LINE_2_WAY,-278.0,225.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020019,2,2024-10-11T02:30:00Z,28,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,19,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,OVER_UNDER,195.0,550.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020019,2,2024-10-11T02:30:00Z,28,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,19,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,MONEY_LINE_3_WAY,195.0,100.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020019,2,2024-10-11T02:30:00Z,28,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,19,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,MONEY_LINE_2_WAY,136.0,-162.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
