gameid,gameType,startTimeUTC,homeTeam.id,homeTeam.name.default,homeTeam.abbrev,homeTeam.logo,awayTeam.id,awayTeam.name.default,awayTeam.abbrev,awayTeam.logo,odds_description,home_odds_value,away_odds_value,currentOddsDate,lastUpdatedUTC,bettingPartner,homeTeam.name.fr,gameid.1,gameid.2,awayTeam.name.fr,gameid.3,gameid
,1,2025-10-05T00:00:00Z,68,Mammoth,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,28,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,MONEY_LINE_2_WAY,-230.0,190.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010098
,1,2025-10-04T23:00:00Z,13,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,14,Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,PUCK_LINE,154.0,-185.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010099
,1,2025-10-04T23:00:00Z,13,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,14,Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,OVER_UNDER,-130.0,110.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010099
,1,2025-10-04T23:00:00Z,13,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,14,Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,MONEY_LINE_3_WAY,295.0,295.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010099
,1,2025-10-04T23:00:00Z,13,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,14,Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,MONEY_LINE_2_WAY,-155.0,130.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010099
,1,2025-10-04T23:00:00Z,17,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,10,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,PUCK_LINE,160.0,-192.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010100
,1,2025-10-04T23:00:00Z,17,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,10,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,OVER_UNDER,110.0,-130.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010100
,1,2025-10-04T23:00:00Z,17,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,10,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,MONEY_LINE_3_WAY,300.0,300.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010100
,1,2025-10-04T23:00:00Z,17,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,10,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,MONEY_LINE_2_WAY,-148.0,124.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010100
,1,2025-10-03T23:00:00Z,5,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,7,Sabres,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,PUCK_LINE,-250.0,205.0,2025-10-03,2025-10-03T20:00:38Z,DraftKings,,,,,2025010085.0,
,1,2025-10-03T23:00:00Z,5,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,7,Sabres,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,OVER_UNDER,114.0,-135.0,2025-10-03,2025-10-03T20:00:38Z,DraftKings,,,,,2025010085.0,
,1,2025-10-03T23:00:00Z,5,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,7,Sabres,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,MONEY_LINE_3_WAY,300.0,300.0,2025-10-03,2025-10-03T20:00:38Z,DraftKings,,,,,2025010085.0,
,1,2025-10-03T23:00:00Z,5,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,7,Sabres,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,MONEY_LINE_2_WAY,-105.0,-115.0,2025-10-03,2025-10-03T20:00:38Z,DraftKings,,,,,2025010085.0,
