id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalScorer.playerId,condensedGame,condensedGameFr,awayTeam.commonName.fr,ticketsLinkFr,homeTeam.commonName.fr,winningGoalie.lastName.de,winningGoalie.lastName.es,winningGoalie.lastName.sv,specialEvent.parentId,specialEvent.name.default,specialEvent.lightLogoUrl.default,specialEvent.lightLogoUrl.fr,specialEvent.name.fr,tricode_winteam
2025020045,20252026,2,2025-10-13,False,2025-10-13T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,1,Devils,New Jersey,du New Jersey,NJD,3.0,29,Blue Jackets,Columbus,de Columbus,CBJ,2.0,REG,3,REG,8474593.0,8482110.0,,,,,,,,Markström,,,,,,NJD
2025020044,20252026,2,2025-10-13,False,2025-10-13T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,13,Panthers,Florida,de la Floride,FLA,2.0,4,Flyers,Philadelphia,de Philadelphie,PHI,5.0,REG,3,REG,8478435.0,8476461.0,,,,,,,,,,,,,,PHI
2025020046,20252026,2,2025-10-13,False,2025-10-13T23:30:00Z,-04:00,-07:00,America/Vancouver,OFF,OK,19,Blues,St. Louis,de St. Louis,STL,5.0,23,Canucks,Vancouver,de Vancouver,VAN,2.0,REG,3,REG,8476412.0,8483516.0,,,,,,,,,,,,,,STL
2025020047,20252026,2,2025-10-13,False,2025-10-14T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,26,Kings,Los Angeles,de Los Angeles,LAK,3.0,30,Wild,Minnesota,du Minnesota,MIN,4.0,SO,3,SO,8482661.0,,,,,,,,,,,,,,,MIN
2025020048,20252026,2,2025-10-13,False,2025-10-14T00:30:00Z,-04:00,-05:00,America/Chicago,OFF,OK,68,Mammoth,Utah,de l'Utah,UTA,1.0,16,Blackhawks,Chicago,de Chicago,CHI,3.0,REG,3,REG,8481519.0,8477444.0,/video/uta-at-chi-condensed-game-6382711224112,,,,,,,,,,,,,CHI
2025020051,20252026,2,2025-10-14,False,2025-10-14T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,22,Oilers,Edmonton,d'Edmonton,EDM,2.0,3,Rangers,New York,de New York,NYR,0.0,REG,3,REG,8479973.0,8479365.0,/video/edm-at-nyr-condensed-game-6382770152112,/fr/video/match-condense-oilers-rangers-14-10-2025-6382769769112,,,,,,,,,,,,EDM
2025020050,20252026,2,2025-10-14,False,2025-10-14T23:00:00Z,-04:00,-04:00,America/Montreal,OFF,OK,55,Kraken,Seattle,de Seattle,SEA,4.0,8,Canadiens,Montréal,de Montréal,MTL,5.0,OT,3,OT,8478470.0,8481540.0,/video/sea-at-mtl-condensed-game-6382771610112,/fr/video/match-condense-kraken-canadiens-14-10-2025-6382772092112,,,,,,,,,,,,MTL
2025020052,20252026,2,2025-10-14,False,2025-10-14T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,14,Lightning,Tampa Bay,de Tampa Bay,TBL,2.0,15,Capitals,Washington,de Washington,WSH,3.0,OT,3,OT,8480313.0,8479345.0,/video/tbl-at-wsh-condensed-game-6382772184112,/fr/video/match-condense-lightning-capitals-14-10-2025-6382771881112,,,,,,,,,,,,WSH
2025020049,20252026,2,2025-10-14,False,2025-10-14T23:00:00Z,-04:00,-04:00,America/Toronto,OFF,OK,18,Predators,Nashville,de Nashville,NSH,4.0,10,Maple Leafs,Toronto,de Toronto,TOR,7.0,REG,3,REG,8480051.0,8479318.0,/video/nsh-at-tor-condensed-game-6382768116112,/fr/video/match-condense-predators-maple-leafs-14-10-2025-6382771054112,,,,,,,,,,,,TOR
2025020053,20252026,2,2025-10-14,False,2025-10-15T01:00:00Z,-04:00,-06:00,US/Mountain,OFF,OK,54,Golden Knights,Vegas,de Vegas,VGK,4.0,20,Flames,Calgary,de Calgary,CGY,2.0,REG,3,REG,8481033.0,8478403.0,,,,,,,,,,,,,,VGK
