tricode_home,tricode_away,geometry_home,geometry_away,geo_distance_haversine,geo_distance_ellipsoidal
BOS,OTT,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-75.9269821,45.2968824]}",508199.32973543974,508855.6762990236
BOS,PHI,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-75.172001,39.901177]}",439883.43508387794,440363.9330663864
BOS,PIT,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-79.988795,40.439642]}",774266.2845901075,776046.6802600294
BOS,SEA,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-122.3537822,47.6221615]}",4000741.1048228214,4011635.778126867
BOS,SJS,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-121.9012924,37.3327377]}",4311084.426308467,4321552.719078694
BOS,STL,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-90.2026731,38.6268312]}",1667017.066590677,1670841.0633976741
BOS,TOR,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-79.37896,43.64344]}",690684.2074674272,692432.1057619058
BOS,TBL,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-82.4518213,27.9427281]}",1905008.5607605765,1903218.3654523247
BOS,UTA,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-111.9008887,40.7682775]}",3369308.2535889423,3378024.7827647743
BOS,VAN,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-123.1089713,49.2779028]}",4023028.972393539,4033981.319803548
BOS,VGK,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-115.178726,36.102982]}",3819092.5246286797,3827976.0917880344
BOS,WPG,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-97.1438596,49.8925472]}",2163053.2960080877,2168196.908295434
BOS,WSH,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-77.0209613,38.8980959]}",633394.3726406955,634096.6634243426
BUF,ANA,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}",3512816.5844291104,3520080.7583107464
BUF,BOS,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}",641642.719296324,643331.4769995307
BUF,CAR,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}",786477.6529265658,785257.2475890616
BUF,CBJ,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-83.0061557,39.9692284]}",472077.84080049285,472464.2197642812
BUF,CGY,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-114.05141,51.03805]}",2788651.325306536,2795835.9132828377
BUF,CHI,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-87.674370,41.880692]}",730708.378314985,732580.4344273343
BUF,COL,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-105.0077857,39.74864]}",2200899.1933611543,2206376.016892859
BUF,DAL,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-96.8102,32.7903]}",1926737.5919943254,1928593.1080776057
BUF,DET,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-83.055534,42.341045]}",347069.6271489189,347955.6441287714
BUF,EDM,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-113.498871,53.546932]}",2790550.750869258,2797351.3757388876
BUF,FLA,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-80.325448,26.158384]}",1863483.2083297635,1859163.2371534181
BUF,LAK,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-118.2671898,34.0430921]}",3532264.8835756653,3539670.8723864956
BUF,MIN,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-93.1010033,44.9448248]}",1160867.9383805152,1163884.3558480972
BUF,MTL,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-73.569916,45.496082]}",513614.4614202317,514455.83207783516
BUF,NJD,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-74.171085,40.733559]}",456890.64884287916,457620.51140915364
BUF,NSH,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-86.779060,36.159229]}",1007612.2309287351,1007896.5762060585
BUF,NYI,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-73.7258661,40.7117152]}",489993.2824042652,490831.6366295742
BUF,NYR,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-73.9935459,40.7505474]}",468503.8815137159,469283.0828449698
BUF,OTT,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-75.9269821,45.2968824]}",357740.6705527493,358019.31688809645
BUF,PHI,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-75.172001,39.901177]}",452548.96080025745,452805.39082261844
BUF,PIT,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-79.988795,40.439642]}",286144.09853938007,285926.2085651441
BUF,SEA,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-122.3537822,47.6221615]}",3398624.5336267864,3407906.275045912
BUF,SJS,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-121.9012924,37.3327377]}",3670082.9275530074,3678890.576417196
BUF,STL,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-90.2026731,38.6268312]}",1063373.4386807035,1065276.1357155014
BUF,TOR,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-79.37896,43.64344]}",94603.11567590132,94582.98906164878
BUF,TBL,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-82.4518213,27.9427281]}",1691290.8515699164,1687840.805968033
BUF,UTA,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-111.9008887,40.7682775]}",2728964.8532154337,2736020.070597154
BUF,VAN,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-123.1089713,49.2779028]}",3433854.9836563217,3443192.201505457
BUF,VGK,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-115.178726,36.102982]}",3178610.8105030423,3185765.1188101284
BUF,WPG,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-97.1438596,49.8925472]}",1597757.0912029587,1601134.5753913673
BUF,WSH,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-77.0209613,38.8980959]}",468916.43047604564,468512.4590491228
CAR,ANA,"{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}","{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}",3558013.232807441,3565823.5465786573
CAR,BOS,"{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}","{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}",983818.0959949577,984040.9707641209
CAR,BUF,"{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}","{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}",786477.6529265658,785257.2475890616
CAR,CBJ,"{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}","{""type"":""Point"",""coordinates"":[-83.0061557,39.9692284]}",596444.8599901038,596362.0938218277
CAR,CGY,"{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}","{""type"":""Point"",""coordinates"":[-114.05141,51.03805]}",3272693.599897458,3278400.8866847963
CAR,CHI,"{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}","{""type"":""Point"",""coordinates"":[-87.674370,41.880692]}",1027474.6883068144,1028170.4587358733
CAR,COL,"{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}","{""type"":""Point"",""coordinates"":[-105.0077857,39.74864]}",2342728.506700676,2347957.874448185
